state,district,state2,district_code,state_code,census2001_code,census2011_code,match_status
Uttar Pradesh,BALRAMPUR,UTTAR PRADESH,127,9,52,182,1
Uttar Pradesh,BANDA,UTTAR PRADESH,128,9,40,170,1
Uttar Pradesh,BARABANKI,UTTAR PRADESH,129,9,46,176,1
Uttar Pradesh,BAREILLY,UTTAR PRADESH,130,9,20,150,1
Uttar Pradesh,BASTI,UTTAR PRADESH,131,9,55,185,1
Uttar Pradesh,BIJNOR,UTTAR PRADESH,132,9,3,134,1
Uttar Pradesh,BUDAUN,UTTAR PRADESH,133,9,19,149,1
Uttar Pradesh,BULANDSHAHAR,UTTAR PRADESH,134,9,11,142,2
Uttar Pradesh,C S M NAGAR,UTTAR PRADESH,640,9,NA,0,2
Uttar Pradesh,CHANDAULI,UTTAR PRADESH,135,9,66,196,1
Uttar Pradesh,CHITRAKOOT,UTTAR PRADESH,136,9,41,171,1
Uttar Pradesh,DEORIA,UTTAR PRADESH,137,9,60,190,1
Uttar Pradesh,ETAH,UTTAR PRADESH,138,9,17,201,1
Uttar Pradesh,ETAWAH,UTTAR PRADESH,139,9,31,161,1
Uttar Pradesh,FAIZABAD,UTTAR PRADESH,140,9,47,177,1
Uttar Pradesh,FARRUKHABAD,UTTAR PRADESH,141,9,29,159,1
Uttar Pradesh,FATEHPUR,UTTAR PRADESH,142,9,42,172,1
Uttar Pradesh,FIROZABAD,UTTAR PRADESH,143,9,16,147,1
Uttar Pradesh,GAUTAM BUDDHA NAGAR,UTTAR PRADESH,144,9,10,141,1
Uttar Pradesh,GHAZIABAD,UTTAR PRADESH,145,9,9,140,1
Uttar Pradesh,GHAZIPUR,UTTAR PRADESH,146,9,65,195,1
Uttar Pradesh,GONDA,UTTAR PRADESH,147,9,53,183,1
Uttar Pradesh,GORAKHPUR,UTTAR PRADESH,148,9,58,188,1
Uttar Pradesh,HAMIRPUR,UTTAR PRADESH,149,9,38,168,1
Uttar Pradesh,HAPUR,UTTAR PRADESH,661,9,NA,0,1
Uttar Pradesh,HARDOI,UTTAR PRADESH,150,9,25,155,1
Uttar Pradesh,HATHRAS,UTTAR PRADESH,163,9,13,144,1
Uttar Pradesh,JALAUN,UTTAR PRADESH,151,9,35,165,1
Uttar Pradesh,JAUNPUR,UTTAR PRADESH,152,9,64,194,1
Uttar Pradesh,JHANSI,UTTAR PRADESH,153,9,36,166,1
Uttar Pradesh,JYOTIBA PHULE NAGAR,UTTAR PRADESH,154,9,6,137,2
Uttar Pradesh,KANNAUJ,UTTAR PRADESH,155,9,30,160,1
Uttar Pradesh,KANPUR DEHAT,UTTAR PRADESH,156,9,33,163,1
Uttar Pradesh,KANPUR NAGAR,UTTAR PRADESH,157,9,34,164,1
Uttar Pradesh,KASHI RAM NAGAR,UTTAR PRADESH,633,9,NA,202,2
Uttar Pradesh,KAUSHAMBI,UTTAR PRADESH,158,9,44,174,1
Uttar Pradesh,KUSHINAGAR,UTTAR PRADESH,160,9,59,189,2
Uttar Pradesh,LAKHIMPUR KHERI,UTTAR PRADESH,159,9,23,153,2
Uttar Pradesh,LALITPUR,UTTAR PRADESH,161,9,37,167,1
Uttar Pradesh,LUCKNOW,UTTAR PRADESH,162,9,27,157,1
Uttar Pradesh,MAHARAJGANJ,UTTAR PRADESH,164,9,57,187,1
Uttar Pradesh,MAHOBA,UTTAR PRADESH,165,9,39,169,1
Uttar Pradesh,MAINPURI,UTTAR PRADESH,166,9,18,148,1
Uttar Pradesh,MATHURA,UTTAR PRADESH,167,9,14,145,1
Uttar Pradesh,MAUNATHBHANJAN,UTTAR PRADESH,168,9,62,192,2
Uttar Pradesh,MEERUT,UTTAR PRADESH,169,9,7,138,1
Uttar Pradesh,MIRZAPUR,UTTAR PRADESH,170,9,69,199,1
Uttar Pradesh,MORADABAD,UTTAR PRADESH,171,9,4,135,1
Uttar Pradesh,MUZAFFARNAGAR,UTTAR PRADESH,172,9,2,133,1
Uttar Pradesh,PILIBHIT,UTTAR PRADESH,173,9,21,151,1
Uttar Pradesh,PRATAPGARH,UTTAR PRADESH,174,9,43,173,1
Uttar Pradesh,RAE BARELI,UTTAR PRADESH,175,9,28,158,1
Uttar Pradesh,RAMPUR,UTTAR PRADESH,176,9,5,136,1
Uttar Pradesh,SAHARANPUR,UTTAR PRADESH,177,9,1,132,1
Uttar Pradesh,SAMBHAL,UTTAR PRADESH,659,9,NA,0,1
Uttar Pradesh,SANT KABIR NAGAR,UTTAR PRADESH,178,9,56,186,2
Uttar Pradesh,SANT RAVIDAS NAGAR,UTTAR PRADESH,179,9,68,198,2
Uttar Pradesh,SHAHJAHANPUR,UTTAR PRADESH,180,9,22,152,1
Uttar Pradesh,SHAMLI,UTTAR PRADESH,660,9,NA,0,1
Uttar Pradesh,SHRAWASTI,UTTAR PRADESH,181,9,51,181,2
Uttar Pradesh,SIDDHARTH NAGAR,UTTAR PRADESH,182,9,54,184,1
Uttar Pradesh,SITAPUR,UTTAR PRADESH,183,9,24,154,1
Uttar Pradesh,SONBHADRA,UTTAR PRADESH,184,9,70,200,1
Uttar Pradesh,SULTANPUR,UTTAR PRADESH,185,9,49,179,1
Uttar Pradesh,UNNAV,UTTAR PRADESH,186,9,26,156,2
Uttar Pradesh,VARANASI,UTTAR PRADESH,187,9,67,197,1
Uttarakhand,_UTTARAKHAND,UTTARAKHAND,-1,-1,-1,-1,0
Uttarakhand,ALMORA,UTTARAKHAND,45,5,9,64,1
Uttarakhand,BAGESHWAR,UTTARAKHAND,46,5,8,63,1
Uttarakhand,CHAMOLI,UTTARAKHAND,47,5,2,57,1
Uttarakhand,CHAMPAWAT,UTTARAKHAND,48,5,10,65,1
Uttarakhand,DEHRADUN,UTTARAKHAND,49,5,5,60,1
Uttarakhand,GARHWAL,UTTARAKHAND,52,5,6,61,2
Uttarakhand,HARDWAR,UTTARAKHAND,50,5,13,68,2
Uttarakhand,NAINITAL,UTTARAKHAND,51,5,11,66,1
Uttarakhand,PITHORAGARH,UTTARAKHAND,53,5,7,62,1
Uttarakhand,RUDRAPRAYAG,UTTARAKHAND,54,5,3,58,2
Uttarakhand,TEHRI GARHWAL,UTTARAKHAND,55,5,4,59,1
Uttarakhand,UDHAM SINGH NAGAR,UTTARAKHAND,56,5,12,67,2
Uttarakhand,UTTARKASHI,UTTARAKHAND,57,5,1,56,2
West Bengal,_WEST BENGAL,WEST BENGAL,-1,-1,-1,-1,0
West Bengal,BANKURA,WEST BENGAL,305,19,13,339,1
West Bengal,BARDHAMAN,WEST BENGAL,306,19,9,335,1
West Bengal,BIRBHUM,WEST BENGAL,307,19,8,334,1
West Bengal,DAKSHIN DINAJPUR,WEST BENGAL,310,19,5,331,2
West Bengal,DARJEELING,WEST BENGAL,309,19,1,327,1
West Bengal,HAORA,WEST BENGAL,313,19,16,341,2
West Bengal,HOOGHLY,WEST BENGAL,312,19,12,338,1
West Bengal,JALPAIGURI,WEST BENGAL,314,19,2,328,1
West Bengal,KOCH BIHAR,WEST BENGAL,308,19,3,329,2
West Bengal,KOLKATA,WEST BENGAL,315,19,17,342,1
West Bengal,MALDA,WEST BENGAL,316,19,6,332,2
West Bengal,MEDINIPUR EAST,WEST BENGAL,317,19,15,345,1
West Bengal,MEDINIPUR WEST,WEST BENGAL,318,19,15,344,1
West Bengal,MURSHIDABAD,WEST BENGAL,319,19,7,333,1
West Bengal,NADIA,WEST BENGAL,320,19,10,336,1
West Bengal,NORTH 24 PARGANAS,WEST BENGAL,303,19,11,337,2
West Bengal,PURULIYA,WEST BENGAL,321,19,14,340,2
West Bengal,SOUTH 24 PARGANAS,WEST BENGAL,304,19,18,343,2
West Bengal,UTTAR DINAJPUR,WEST BENGAL,311,19,4,330,2
West Bengal,ALIPURDUAR,WEST BENGAL,664,19,NA,0,2
